ID:4521-9920 | user: MARCOS_RIVAS | consumo: 120540 bytes | status: SUCCESS 
ID:8821-3310 | user: ana.garcia  | consumo: 540220000 bytes | status: ERROR:TIMEOUT 
ID:1022-4455 | user: J_GOMEZ | consumo: 3200 bytes | status: SUCCESS
ID:9920-1122 | user: lorenzo_pena | consumo: 950000000 bytes | status: SUCCESS 
ID:3344-5566 | user: marta.Sanz | consumo: 210.1 bytes | status: ERROR:AUTH 
ID:7766-1100 | user: RICARDO_88 | consumo: 0.2 bytes | status: SUCCESS
ID:1122-8899 | user: admin_ROOT | consumo: 1.5e7 bytes | status: SUCCESS
ID:5544-2233 | user: sergio_valle | consumo: 1048576 bytes | status: SUCCESS
ID:0012-9988 | user: Guest_User | consumo: 500 bytes | status: ERROR:404
ID:6677-4411 | user: ELENA_N | consumo: 1250000000 bytes | status: SUCCESS
ID:8899-0022 | user: pablo.perez | consumo: 0.1 bytes | status: SUCCESS
ID:4455-6677 | user: User.Test | consumo: 45000 bytes | status: SUCCESS
ID:1234-5678 | user: LUCIA_M | consumo: 1.2e8 bytes | status: SUCCESS
ID:9988-7766 | user: r.jimenez | consumo: 850000 bytes | status: ERROR:DB
ID:1111-2222 | user: S_TORRES | consumo: 0.2 bytes | status: SUCCESS
ID:3333-4444 | user: f_blanco | consumo: 314159 bytes | status: SUCCESS
ID:5555-6666 | user: G_MARTINEZ | consumo: 1000000000 bytes | status: SUCCESS
ID:7777-8888 | user: m_alvarez | consumo: 250.1 bytes | status: ERROR:TIMEOUT
ID:9999-0000 | user: j_dominguez | consumo: 5.5e6 bytes | status: SUCCESS
ID:1212-3434 | user: d_sanchez | consumo: 0.1 bytes | status: SUCCESS
